15055.5	-1.7	-1.4
15241.0	-1.2	-2.6
15332.4	-1.4	-0.1
15432.1	-2.6	-1.3
15655.0	-2.5	-2.3
15833.2	-0.6	-0.2
16030.8	-1.8	-0.8
16128.6	-1.9	-0.8
16235.4	-2.2	-0.7
16692.1	0.8	1.3
16903.7	-1.3	-0.9
17123.6	-0.8	-0.7
17653.3	0.2	0.1
17880.3	-0.3	-0.7
17994.0	-0.3	-0.6
18118.5	-0.1	0.2
19250.3	0.4	0.1
19350.1	0.7	0.4
19771.8	0.5	-0.7
20008.2	0.9	-0.1
20275.9	1.7	0.2
20412.7	1.9	-0.1
20563.6	2.2	-0.1
20729.0	2.7	0.2
21176.6	3.1	-0.6
21249.7	0.5	-2.2
21507.3	3.5	-0.1
21802.2	3.8	-0.2
21955.6	3.7	1
22125.5	5	1.4
22312.7	7	3.1
