15055.5	-0.6	0.3
15241.0	-0.8	-1.2
15332.4	-0.4	-1.2
15432.1	0.2	-0.6
15655.0	0.7	-3.2
15833.2	0.8	0.3
16030.8	-0.6	-0.9
16128.6	0.1	-0.5
16235.4	-0.9	-1.3
16692.1	2.2	1.4
16903.7	0.4	-0.6
17123.6	0.4	-0.9
17653.3	1.5	0.5
17880.3	0.8	-0.5
17994.0	0.8	-0.4
18118.5	0.8	0.1
19250.3	1.2	-0.3
19350.1	1.1	-0.3
19771.8	1	-0.6
20008.2	1.3	-0.2
20275.9	2.6	0
20412.7	2.5	-0.1
20563.6	2.7	0.3
20729.0	3.2	0.7
21176.6	3.8	0.8
21249.7	0.9	-2.7
21507.3	3.7	0.2
21802.2	4.1	0.9
21955.6	3.9	0.7
22125.5	4.9	0.6
22312.7	7.1	2.2
